state,name_y,category,latitude,longitude,class
Georgia,Krispy Kreme,'Donut shop',32.1346497,-81.2432264,0
California,Boku Superfood,'Health food store',34.4421591,-119.2585966,0
Florida,Costellos Butcher and Deli,'Butcher shop deli',30.4218994,-87.3176673,0
Florida,Krispy Kreme,'Donut shop',30.3134305,-81.7310045,0
Georgia,Krispy Kreme,'Donut shop',31.9823023,-81.1494404,0
California,Krispy Kreme,'Donut shop',37.9847797,-121.3462964,0
California,Su Pan Bakery,'Bakery',32.757228999999995,-117.08636,0
Florida,Donuts To Go,'Donut shop',28.8124125,-81.2829271,0
California,Restaurant Depot,'Restaurant supply store',34.0216,-118.24342,0
Arizona,Krispy Kreme,'Donut shop',33.415292,-111.874069,0
Florida,Gulf Coast Seafood Market and Restaurant,'Seafood market',30.5346459,-87.3143309,0
North Carolina,Duck Donuts,'Donut shop',36.1632996,-75.7532809,0
Arizona,The Good Apple Natural Market,'Health food store',33.416653,-111.5507528,0
Tennessee,Hunter's Bakery and Cafe,'Bakery',35.6001374,-84.4618701,0
South Carolina,Williams Seafood,'Seafood market',33.581789,-79.9939958,0
Texas,Upper Crust Bakery,'Bakery',30.3158167,-97.7415639,0
Florida,Krispy Kreme,'Donut shop',28.3320323,-81.4963667,0
Texas,Shipley Do-Nuts,'Donut shop',26.303826,-98.1831986,0
Georgia,Kirkland's Seafood Market,'Seafood market',31.9391105,-81.9297265,0
Tennessee,Queen City Restaurant Equipment,'Restaurant supply store',36.5838533,-87.3110384,0
Georgia,East Dublin Seafood,'Seafood market',32.5454253,-82.884374,0
North Carolina,Stick Boy Bread Co,'Bakery',35.5833133,-78.7995189,0
Louisiana,Lil Kats Seafood,'Seafood market',29.9854559,-90.2198474,0
North Carolina,Early Bird Donuts,'Donut shop',36.0066658,-78.9477928,0
Louisiana,Saia's Super Meat Market,'Butcher shop deli',30.3659183,-90.0650787,0
Louisiana,My Crazy Uncle Seafood,'Seafood market',29.9723384,-90.2083532,0
Florida,Pescadería La Palma,'Seafood market',28.0001053,-82.5632663,0
Georgia,Good Nutrition,'Health food store',33.816878599999995,-84.3125511,0
Texas,Krispy Kreme,'Donut shop',33.5296758,-101.905544,0
North Carolina,Funky Fresh Donuts,'Donut shop',35.3754852,-77.9468085,0
Florida,Casa do Pão Express,'Bakery',26.3162146,-80.12701349999999,0
New Mexico,Mata G Vegetarian Kitchen,'Vegetarian cafe and deli',35.079237899999995,-106.6055959,0
Tennessee,A & M Seafood Market,'Seafood market',35.6362572,-88.3476281,0
North Carolina,"Your Equipment Guys, LLC",'Restaurant supply store',35.267783699999995,-81.16573389999999,0
Texas,Smallcakes,'Bakery',32.2864295,-95.306819,0
Arizona,Krispy Kreme,'Donut shop',32.222007999999995,-110.8722465,0
Arizona,BoSa Donuts,'Donut shop',33.4909962,-112.0733232,0
South Carolina,Bell's Seafood,'Seafood market',32.9207055,-80.6635551,0
Arizona,Standard Restaurant Supply,'Restaurant supply store',33.466136899999995,-112.0184783,0
Louisiana,Sid's Seafood,'Seafood market',30.4878938,-90.8672671,0
North Carolina,City Bakery,'Bakery',35.592749399999995,-82.55092619999999,0
New Mexico,Diane’s Bakery and Deli,'Bakery',32.7726021,-108.2766363,0
California,Yum Yum Donuts,'Donut shop',34.092127,-117.9608131,0
North Carolina,RED LINE Beer & Wine,'Delivery service',35.7881497,-78.66776279999999,0
South Carolina,Harrelson's Seafood Market,'Seafood market',33.552388,-79.040382,0
Oklahoma,"GreenAcres Market, Oklahoma City",'Health food store',35.3934133,-97.5489015,0
Arizona,Food Truck Builders of Phoenix,'Restaurant supply store',33.680463,-112.076166,0
North Carolina,FRS Asheville,'Restaurant supply store',35.5933309,-82.5567277,0
North Carolina,Wilson Seafood Market,'Seafood market',35.7136091,-77.89139879999999,0
Florida,Fitlife Foods Brandon,'Health food store',27.9222906,-82.3273196,0
Georgia,Merkerson's Seafood,'Seafood market',33.7379889,-84.4120339,0
North Carolina,"Thompson & Little, Inc.",'Restaurant supply store',35.0407403,-78.89922059999999,0
Texas,Daily Donuts Paradise,'Donut shop',33.1532808,-97.6887488,0
Arizona,Standard Restaurant Supply,'Restaurant supply store',33.4130628,-111.8599334,0
California,Restaurant Depot,'Restaurant supply store',38.782013,-121.31226,0
Alabama,Health Wise Foods,'Health food store',32.3822571,-86.2222505,0
North Carolina,Mother Earth Foods & Eatery,'Health food store',36.1487349,-81.15093139999999,0
California,Sugarbox Donuts,'Donut shop',34.1763306,-118.946031,0
California,"DATE LAND ""Date Shakes""",'Organic food store',34.4702302,-117.335203,0
Arizona,Daily Donuts & Wings,'Donut shop',33.638742,-112.1502648,0
Oklahoma,Daylight Donuts & Taco Zone,'Donut shop',36.700376,-95.636591,0
Florida,Ali's Fish Market,'Seafood market',30.3719601,-81.6878449,0
Tennessee,Short Mountain Cultures,'Organic food store',35.8225364,-86.0925674,0
Mississippi,Family Seafood,'Seafood market',30.4493173,-89.0941527,0
North Carolina,Northside Fish Market-Crab Stop,'Seafood market',35.835738,-78.59965989999999,0
Tennessee,Daylight Donuts,'Donut shop',35.2008993,-87.043752,0
Georgia,Herb Shop & Organic Foods,'Health food store',32.4325493,-81.7579276,0
Florida,"Tepuy Market, Juice and Coffee Bar",'Health food store',26.1332899,-80.4005293,0
Louisiana,Ducote's Restaurant & Bar Equipment,'Restaurant supply store',30.4511321,-91.1441341,0
Louisiana,Satsuma Seafood,'Seafood market',30.5003024,-90.8039487,0
California,"Kitchen & Restaurant Supplies - Taco Carts, Cazos, Planchas, Catering Equipment, Stoves",'Restaurant supply store',33.7928795,-118.0011794,0
North Carolina,Earth Fare,'Health food store',35.0690265,-80.8409526,0
North Carolina,The Butcher of Brunswick,'Butcher shop deli',33.9535163,-78.4597416,0
Georgia,CEG Bakery,'Bakery',33.8256479,-84.3666499,0
Florida,Fitlife Foods Plantation,'Health food store',26.1077599,-80.252078,0
California,Red Ribbon,'Bakery',37.5913524,-122.0698645,0
California,Arrow Restaurant Equipment,'Restaurant supply store',34.0920823,-117.6952583,0
Alabama,Daylight Donuts,'Donut shop',34.6810151,-86.75294679999999,0
Arkansas,Love’s Donuts Oak Street,'Donut shop',35.0914754,-92.4305249,0
South Carolina,Signe's Heaven Bound Bakery & Cafe,'Bakery',32.1626492,-80.76487139999999,0
California,Mama's Bakery,'Bakery',37.2314666,-121.9800998,0
Louisiana,Mortar and Pestle Lafayette,'Bakery',30.1890569,-92.0130484,0
California,Foster's Donuts,'Donut shop',35.3559791,-119.0615939,0
California,Best Buy Restaurant Equipment & Supplies,'Restaurant supply store',33.820651999999995,-116.4040451,0
Arizona,Sprouts Farmers Market,'Health food store',33.25629,-111.63661,0
Louisiana,Sandra's Cafe & Health Food,'Health food store',30.1929255,-92.0556549,0
California,El Centro,'Butcher shop deli',39.1203806,-121.6162516,0
Oklahoma,Oasis Health Foods,'Health food store',35.9138297,-94.9708787,0
Texas,Bronco Meat Co,'Butcher shop deli',31.7084737,-106.3457426,0
Louisiana,Reno's Seafood,'Seafood market',30.2914869,-90.4019531,0
California,Emili's Pastry & Cafe,'Bakery',34.04511,-118.4534175,0
Louisiana,Penny Saver Seafood Market,'Seafood market',30.2511737,-92.0050035,0
Florida,Present Bakery,'Bakery',25.7277506,-80.24456889999999,0
Tennessee,Jackson Donuts,'Donut shop',35.6565395,-88.85146999999999,0
Texas,Burch's Fish Market,'Seafood market',30.0583225,-94.7780741,0
Florida,E H Thompson Company,'Restaurant supply store',30.2235565,-81.5864967,0
South Carolina,Charlie's Fish Market,'Seafood market',33.5568585,-81.7091897,0
Florida,B&B Restaurant Equipment,'Restaurant supply store',30.329993,-81.68447599999999,0
North Carolina,Organic Marketplace,'Health food store',35.2521168,-81.14532539999999,0
Tennessee,Bakery On Main,'Bakery',35.1729613,-84.6527057,0
Texas,Kesco Supply,'Restaurant supply store',30.6579817,-96.3683578,0
Georgia,Taylor's Fresh Seafood,'Seafood market',32.2193183,-82.4119778,0
Georgia,McGee's Bakery,'Bakery',33.575914399999995,-85.0818839,0
Arkansas,Nellie B's Bakery,'Bakery',36.0297536,-94.0295487,0
Alabama,Golden Temple Vegetarian Cafe,'Vegetarian cafe and deli',33.4998681,-86.79746829999999,0
Georgia,Antojitos Dominicanos,'Bakery',33.9121954,-84.113699,0
Georgia,Good Nutrition,'Health food store',34.0395218,-84.34077099999999,0
California,Tropical Oasis,'Vegetarian cafe and deli',32.6290789,-117.0458377,0
Louisiana,Super Donuts Cypress,'Donut shop',32.5088469,-92.1331015,0
Georgia,Dockside Seafood,'Seafood market',31.577753,-81.352066,0
Alabama,Jimmy's Seafood And Kitchen,'Seafood market',30.6998076,-88.092158,0
North Carolina,"Wild Market, Maggie Valley, NC",'Health food store',35.51567,-83.08578399999999,0
Louisiana,Barton's Fish Market,'Seafood market',32.1667316,-91.7227103,0
Florida,Rivera restaurant equipment consultants,'Restaurant supply store',28.6159972,-81.418787,0
Arkansas,Cinnaholic,'Bakery',34.7551242,-92.4163167,0
Tennessee,Jody's Donuts & Bakery,'Bakery',35.119265299999995,-89.79949239999999,0
Georgia,GIAS ORGANIC,'Health food store',33.6702066,-84.4437899,0
Oklahoma,Arctic Restaurant Equipment & Supply,'Restaurant supply store',36.1475219,-95.8892593,0
Louisiana,Bayou Cane Seafood Market,'Seafood market',29.6190356,-90.7476575,0
Alabama,Krispy Kreme,'Donut shop',32.6248688,-85.44740279999999,0
Georgia,Nature's Pick Market,'Health food store',33.9528704,-84.5711944,0
Tennessee,Natural Foods Market,'Health food store',36.3430499,-82.4020293,0
Tennessee,Bread and Butter,'Bakery',35.1206763,-85.2890386,0
Texas,The Farmacy Botanical Shoppe / CBD San Antonio / CBD Delivery & Ecommerce,'Delivery service',29.5494323,-98.4628109,0
Arizona,Country Health Market,'Health food store',35.0285473,-114.5976057,0
North Carolina,Sea Products Seafood Market,'Seafood market',36.1016349,-80.26081839999999,0
Tennessee,17 Berkshire,'Bakery',35.1365351,-89.9915601,0
California,Mirchi Meat & Deli,'Butcher shop deli',37.5341774,-121.9608922,0
North Carolina,SOUTHERN BREEZE SEAFOOD,'Seafood market',34.8160713,-77.5144437,0
North Carolina,Lumbee Fish Market,'Seafood market',34.695857499999995,-79.19759289999999,0
Arizona,Nutrition Head 2 Toe,'Health food store',33.5830603,-111.929572,0
Tennessee,Chef Supplies,'Restaurant supply store',35.9843265,-83.6203378,0
Georgia,The Butcher and A Baker,'Bakery',34.1262677,-84.5734639,0
Mississippi,Seafood Market,'Seafood market',31.6751833,-89.1430611,0
Arkansas,Mickey's Cakes & Sweets,'Bakery',34.7706196,-92.3974784,0
Louisiana,Cajun Donuts & Kolaches,'Donut shop',30.1415946,-91.9396198,0
California,Clark Street Brentwood,'Bakery',34.0643927,-118.4693338,0
Florida,Golden Almond Health Store,'Health food store',30.4490826,-86.6303853,0
New Mexico,National Restaurant Supply,'Restaurant supply store',35.1241257,-106.616167,0
California,Herbs Of Mexico,'Health food store',34.0241144,-118.1891667,0
Florida,Buon Pane Italiano ESPANOLA WAY,'Bakery',25.7867579,-80.13197319999999,0
North Carolina,Chance Of Sprinkles Bake Shop,'Bakery',35.6823515,-82.0108431,0
Texas,Pie and Cake,'Bakery',25.9791804,-97.4985417,0
Florida,Jackie's Seafood Market,'Seafood market',29.6506154,-81.6513026,0
California,Sections Fine Meats,'Butcher shop deli',33.6322647,-117.9147305,0
North Carolina,Get Fit Foods Park Road,'Health food store',35.1712603,-80.8505047,0
Texas,Casa Juarez Restaurant Supply Co.,'Restaurant supply store',27.50355,-99.489482,0
North Carolina,Doug's Seafood,'Seafood market',33.9834182,-78.36958469999999,0
Louisiana,Chenier's Seafood & Market,'Seafood market',29.9661248,-90.7148333,0
Florida,"Springfield Nutrition: Smoothie, Health shake",'Health food store',30.3418709,-81.6542079,0
Louisiana,Paul's Seafood Deli,'Seafood market',30.7589038,-89.8470452,0
Louisiana,Pace Seafood,'Seafood market',33.001393,-93.4667162,0
Texas,Jean's Restaurant Supply,'Restaurant supply store',26.2157141,-98.2048344,0
Florida,Mother Earth Natural Foods,'Health food store',26.6661353,-81.8872512,0
Arizona,Alida Restaurant Supply,'Restaurant supply store',33.6096018,-112.1353063,0
Texas,Uncle Willie's Pies,'Bakery',32.593703999999995,-96.857537,0
Arkansas,Fat Rolls LLC,'Bakery',35.9754714,-94.3155975,0
Georgia,Health Nut,'Health food store',33.808991,-84.1704014,0
California,Red Ribbon,'Bakery',33.698999,-117.8365462,0
Florida,Kim's Seafood Market,'Seafood market',30.4651781,-84.3460616,0
North Carolina,Tryon Palace Seafood,'Seafood market',35.105239399999995,-77.0430355,0
South Carolina,CudaCo.,'Seafood market',32.7415959,-79.9682511,0
South Carolina,Stop N Shop,'Food store',34.6673769,-79.546931,0
California,Chefs' Toys,'Restaurant supply store',37.7507244,-122.3871171,0
Oklahoma,The Health Patch,'Health food store',35.4542945,-97.3700287,0
Mississippi,Seafood Shack Market & Deli,'Seafood market',30.6358642,-88.5670547,0
California,County Restaurant Supply (CRS),'Restaurant supply store',37.5066741,-122.2580775,0
Florida,Joseph's Organic Bakery,'Bakery',25.9437184,-80.14926179999999,0
Texas,Donut Hole - East Pasadena Frwy,'Donut shop',29.7131346,-95.1968031,0
Texas,Herbal Connection,'Health food store',30.335043,-95.4692211,0
Tennessee,New Orleans Seafood #2,'Seafood market',35.1468343,-90.01428639999999,0
North Carolina,C.Cups Cupcakery,'Bakery',35.1949075,-79.46925449999999,0
Louisiana,"Cajun Specialty Meats & Seafood, LLC",'Seafood market',31.5757363,-91.4656153,0
Louisiana,Hilton's Restaurant Supply,'Restaurant supply store',30.2329156,-92.0351324,0
Florida,Hospitality Resource Supply,'Restaurant supply store',28.356709,-80.728552,0
South Carolina,Atlantic Restaurant Supply,'Restaurant supply store',33.6776296,-78.9662712,0
North Carolina,Nana Seafood Mart,'Seafood market',35.266048,-80.794563,0
Louisiana,L & T Seafood Inc,'Seafood market',30.7686073,-89.8518074,0
Texas,Shipley Do-Nuts,'Donut shop',30.4142778,-97.6888844,0
Louisiana,Louisiana Gulf Seafood,'Seafood market',31.3324634,-92.3953012,0
Florida,Country Corner Health Foods,'Health food store',26.630382,-80.0882311,0
Florida,Judy's Natural Foods,'Health food store',28.1942952,-82.73936789999999,0
Tennessee,Oh My Chives Natural Market,'Organic food store',35.9509024,-86.66807089999999,0
Tennessee,"Cox Corner Market - Deli Sandwiches, Crab Legs, Salmon, Beef and Recipes",'Butcher shop deli',35.155638499999995,-89.7780878,0
South Carolina,Fiddlers Sea Food Market,'Seafood market',32.4803801,-80.98189049999999,0
Mississippi,Highway One Fish Market,'Seafood market',33.4121369,-91.037167,0
North Carolina,Ketchie Creek Bakery Clemmons,'Bakery',36.0363311,-80.3873519,0
Louisiana,Fatheads Seafood Co.,'Seafood market',30.2580852,-90.7691397,0
California,Buffalo Whole Food & Grain Co,'Health food store',37.7594141,-122.4350518,0
Texas,TV's Donuts Delight #12,'Donut shop',29.9429537,-95.7147501,0
Texas,Granary Health Foods - Longview,'Health food store',32.5452634,-94.7520024,0
Oklahoma,Barkeep Supply,'Restaurant supply store',35.4795411,-97.521309,0
Georgia,Nature's Own Herb Shop,'Health food store',33.6582032,-84.40873309999999,0
Georgia,Statesboro Sweets Cafe,'Bakery',32.458728,-81.77986349999999,0
California,Big Sugar Bakeshop - Downtown Los Angeles,'Bakery',34.049147,-118.2575957,0
Alabama,Jonica’s Bakery,'Bakery',34.3422291,-86.30855489999999,0
Texas,Callie's Kitchen,'Organic food store',30.0996636,-95.6151385,0
North Carolina,"Union Street Market in Concord, N.C.",'Organic food store',35.4108006,-80.5813664,0
Alabama,Sugar Mamas Bakery,'Bakery',34.4438223,-86.93364249999999,0
Florida,Global Restaurant Equipment & Supplies Inc,'Restaurant supply store',25.887089,-80.209735,0
Louisiana,Seafood Mart,'Seafood market',29.9958333,-91.8061111,0
North Carolina,Howard's Seafood & Convenience Store,'Seafood market',34.2285133,-77.9421424,0
Georgia,Natural Therapies,'Health food store',32.594448,-83.632894,0
Alabama,YoYo Donuts,'Donut shop',33.4808998,-86.7881602,0
Louisiana,Farmers Seafood Co Wholesale/Retail,'Seafood market',32.5347422,-93.7595959,0
Louisiana,Small Mart,'Vegetarian cafe and deli',29.9634968,-90.0506863,0
Texas,Fork to Fit Kitchen | South McAllen,'Health food store',26.183041,-98.2073348,0
Arizona,Economy Restaurant Supply Inc,'Restaurant supply store',32.2307715,-110.9715294,0
Texas,Donut World,'Donut shop',33.175171899999995,-96.7204108,0
North Carolina,Living Kitchen,'Vegan restaurant',35.9331697,-79.0277559,0
Louisiana,Oriental Garden,'Asian restaurant',31.3882428,-92.435539,0
Georgia,Charley & Sons,'Food products supplier',33.710057899999995,-84.425738,0
New Mexico,Dashing Delivery,'Delivery service',35.6664175,-105.8949406,0
North Carolina,El Fogon restaurant,'Dominican restaurant',35.2612848,-81.170594,0
Arizona,Supurb,'Delivery service',33.5721104,-111.9863456,0
South Carolina,Uneeda Sicilian,'Sicilian restaurant',32.798679199999995,-79.9510715,0
Florida,Shore to Door Fish Market,'Seafood market',25.728065,-80.253705,0
California,"Haliburton International Foods, Inc.",'Food products supplier',34.049838,-117.5691605,0
North Carolina,Fresh Catch Seafood Market & Carryout Restaurant,'Seafood market',35.965301,-79.986722,0
Arizona,Costco Food Court,'Food court',33.3468828,-111.9619116,0
Florida,Beltram Foodservice Group,'Restaurant supply store',28.0098772,-82.4596598,0
California,Mogador Moroccan Bistro,'Moroccan restaurant',37.7714765,-122.4222799,0
Tennessee,The Branch of Nashville,'Food bank',36.0521912,-86.67705169999999,0
Louisiana,Athena Greek & Lebanese Food,'Greek restaurant',29.9875599,-91.8166454,0
Florida,Rose Grill,'Middle Eastern restaurant',28.048786,-82.3927705,0
Alabama,Wiregrass Area Food Bank,'Food bank',31.2463889,-85.39805559999999,0
Texas,Hawaiian Bros Island Grill,'Hawaiian restaurant',33.1888086,-97.1059311,0
Texas,Shepherd's Heart,'Food bank',31.544088,-97.169515,0
Arizona,Izzy's Bakery & Cafe,'Bakery',33.4151718,-111.8721668,0
Arizona,Indochinesefusion,'Indian restaurant',33.6428996,-111.9769115,0
Mississippi,Sysco Jackson - Wholesale Restaurant Food Supplies,'Food products supplier',32.338063,-90.243451,0
Florida,Shiraz House of Grill,'Persian restaurant',28.5573474,-81.20771719999999,0
North Carolina,George Flowers Beef Slaughter,'Butcher shop deli',35.742941,-78.034601,0
Texas,SG Foodmart and Tobacco,'Food store',32.7707584,-96.6120526,0
