category,features
'Fondue restaurant' - Florida - The Melting Pot,"Florida, 30.2354852, -81.51703909999999, Outdoor seating, Dine-in, Delivery, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Bar on site, Cosy, Family friendly"
'Down home cooking restaurant' - Texas - Pearl's Graford,"Texas, 32.9377285, -98.2487114, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Brunch restaurant' - Alabama - Brick & Spoon- I65,"Alabama, 30.676879, -88.13283709999999, Takeaway, Dine-in, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Cajun restaurant' - Louisiana - Op-Op's Cajun Cabin,"Louisiana, 31.1009567, -92.0615853, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Caribbean restaurant' - Georgia - KREOLE KITCHEN,"Georgia, 32.0448043, -81.07194539999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Tourists"
'Cajun restaurant' - Louisiana - Acadian Superette,"Louisiana, 30.2192022, -92.0139875, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, College students"
'Honduran restaurant' - Texas - Maria's,"Texas, 33.166744, -94.967052, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'African restaurant' - Georgia - Manding Cafe,"Georgia, 33.6152589, -84.47446389999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Cheesesteak restaurant' - Georgia - Charleys Cheesesteaks,"Georgia, 31.8658653, -81.6086448, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Cajun restaurant' - Louisiana - B&C Seafood Riverside & Cajun Restaurant,"Louisiana, 30.0102138, -90.7225112, Takeaway, Dine-in, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Russian restaurant' - California - Red Tavern,"California, 37.7819801, -122.4833113, Takeaway, Dine-in, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Small plates, Good for kids, Casual, Groups"
'Cuban restaurant' - Florida - Kenia Plaza,"Florida, 25.5194426, -80.4254691, Takeaway, Dine-in, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Country food restaurant' - Tennessee - The other Place restaurant,"Tennessee, 35.871801, -87.3425231, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Bar onsite, Casual, Groups"
'Filipino restaurant' - Florida - Mata's Philippine Cuisine,"Florida, 28.0250178, -82.51660749999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Family-friendly"
'Soul food restaurant' - North Carolina - Briggs Bar-B-Que & Grill,"North Carolina, 36.4068278, -79.3191295, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Salvadoran restaurant' - North Carolina - Restaurante Y Pupuseria Dora,"North Carolina, 35.6757837, -81.9964653, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Puerto Rican restaurant' - Florida - Antojitos De Socorro,"Florida, 30.7582039, -86.56938199999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Late-night food, Quick bite, Good for kids, Casual, Family-friendly"
'Honduran restaurant' - Louisiana - Sabor Catracho Honduran Restaurant,"Louisiana, 29.9115603, -90.035947, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Cuban restaurant' - North Carolina - Cousins Cuban Cafe,"North Carolina, 35.6172251, -82.3203255, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Tourists"
'Soul food restaurant' - South Carolina - Sandy’s Chew Chew’s,"South Carolina, 35.074678, -81.64688199999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Brunch restaurant' - Texas - Darlene's Breakfast Cafe,"Texas, 29.8075498, -98.3651754, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Gluten-free restaurant' - Texas - Healthy Essentials,"Texas, 33.5203341, -101.9249586, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Korean restaurant' - North Carolina - Han Korean Cuisine,"North Carolina, 35.5990064, -77.4069679, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Small plates, Good for kids, Casual, College students"
'African restaurant' - Tennessee - Le Fuuta Restaurant (restaurant),"Tennessee, 35.0250008, -90.00799889999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Small plates, Good for kids, Casual, Groups"
'Indian restaurant' - Louisiana - Mantra Indian Cuisine,"Louisiana, 29.9944946, -90.1550278, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
"'Peruvian restaurant' - New Mexico - Sabor Peruano Restaurant - Food, Empanadas, Vegan Menu in Santa Fe","New Mexico, 35.6924, -105.9509393, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Good for kids, Casual, Family-friendly"
'Bangladeshi restaurant' - Texas - Rannaghor - Kabab & Biryani House,"Texas, 29.7029438, -95.6244491, Curbside pickup, Takeout, Dine-in, Wheelchair accessible parking lot, Comfort food, Halal food, Kids' menu, Good for kids, Casual, Family-friendly"
'Greek restaurant' - South Carolina - Ariana's Greek Restaurant of West Columbia,"South Carolina, 33.9993708, -81.0899093, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Good for kids, Casual, Groups"
'Asian restaurant' - Georgia - China Dynasty Restaurant,"Georgia, 34.0380001, -84.4644843, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Good for kids, Casual, Family-friendly"
'Fine dining restaurant' - Florida - Sensei Asian Bistro,"Florida, 29.6243208, -82.3950899, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Cozy, Family-friendly"
'Latin American restaurant' - South Carolina - Latin Flavorz,"South Carolina, 34.8712521, -82.25294079999999, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Family-friendly"
'Cheesesteak restaurant' - Texas - Charleys Cheesesteaks,"Texas, 29.9985006, -95.1776648, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Fine dining restaurant' - North Carolina - Star Diner,"North Carolina, 35.7977031, -82.68595479999999, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Cozy, Family-friendly"
'Jamaican restaurant' - Mississippi - Jamrock cafe & bar,"Mississippi, 30.4024681, -88.9351496, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Asian restaurant' - North Carolina - Rice Fun Conover,"North Carolina, 35.6959863, -81.2375127, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Family-friendly"
'German restaurant' - California - The Yodler Restaurant & Bar,"California, 37.651729, -119.03736, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Health food restaurant' - Florida - Blendthy Fresh Bar & Coffee,"Florida, 25.7536188, -80.2589879, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Venezuelan restaurant' - Tennessee - Nashville Venezuela Food,"Tennessee, 36.1173983, -86.7481981, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Fine dining restaurant' - Florida - Sixty-One Prime,"Florida, 24.7764695, -80.90964559999999, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Cozy, Family-friendly"
'Taco restaurant' - Texas - La Taqueria Tradicional,"Texas, 31.813406, -106.5559785, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Vegan restaurant' - North Carolina - Element Gastropub,"North Carolina, 35.774355799999995, -78.6392235, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
